name,rssd_id,city,state,county,region
MT. MCKINLEY BANK,542667,FAIRBANKS,AK,FAIRBANKS NORTH STAR,West
FIRST BANK,451068,KETCHIKAN,AK,KETCHIKAN GATEWAY,West
FIRST NATIONAL BANK ALASKA,114260,ANCHORAGE,AK,ANCHORAGE,West
NORTHRIM BANK,1718188,ANCHORAGE,AK,ANCHORAGE,West
DENALI STATE BANK,571265,FAIRBANKS,AK,FAIRBANKS NORTH STAR,West
BANK OF BREWTON,351131,BREWTON,AL,ESCAMBIA,South
"EXCHANGE BANK OF ALABAMA, THE",672537,ALTOONA,AL,ETOWAH,South
PHENIX-GIRARD BANK,432432,PHENIX CITY,AL,RUSSELL,South
"SOUTHERN BANK COMPANY, THE",117775,GADSDEN,AL,ETOWAH,South
STATE BANK & TRUST,386731,WINFIELD,AL,MARION,South
NOVA BANK,5807400,HUNTSVILLE,AL,MADISON,South
MERCHANTS & FARMERS BANK OF GREENE COUNTY,376237,EUTAW,AL,GREENE,South
BANK INDEPENDENT,539032,SHEFFIELD,AL,COLBERT,South
SOUTHPOINT BANK,3386536,BIRMINGHAM,AL,JEFFERSON,South
FIRST JACKSON BANK,248633,STEVENSON,AL,JACKSON,South
UNITED BANK,994435,ATMORE,AL,ESCAMBIA,South
FIRST COMMUNITY BANK OF CULLMAN,812379,CULLMAN,AL,CULLMAN,South
PINNACLE BANK,288376,JASPER,AL,WALKER,South
SERVISFIRST BANK,3348888,HOMEWOOD,AL,JEFFERSON,South
LOCAL BANK,470434,TUSCALOOSA,AL,TUSCALOOSA,South
METRO BANK,1394621,PELL CITY,AL,ST. CLAIR,South
FIRSTSTATE BANK,540739,LINEVILLE,AL,CLAY,South
FARMERS AND MERCHANTS BANK,446130,LAFAYETTE,AL,CHAMBERS,South
NOBLEBANK & TRUST,3385744,ANNISTON,AL,CALHOUN,South
UNION STATE BANK,467733,PELL CITY,AL,ST. CLAIR,South
AUBURNBANK,749635,AUBURN,AL,LEE,South
CENTRAL STATE BANK,353238,CALERA,AL,SHELBY,South
FARMERS & MERCHANTS BANK,291732,WATERLOO,AL,LAUDERDALE,South
WEST ALABAMA BANK & TRUST,501132,REFORM,AL,PICKENS,South
"BANK OF VERNON, THE",382537,VERNON,AL,LAMAR,South
CITIZENS BANK & TRUST,3174920,GUNTERSVILLE,AL,MARSHALL,South
MIDSOUTH BANK,929932,DOTHAN,AL,HOUSTON,South
FIRST METRO BANK,1222519,MUSCLE SHOALS,AL,COLBERT,South
COMMERCEONE BANK,5227101,BIRMINGHAM,AL,JEFFERSON,South
BANK OF WALKER COUNTY,3254297,JASPER,AL,WALKER,South
FIRST COMMUNITY BANK OF CENTRAL ALABAMA,3034257,WETUMPKA,AL,ELMORE,South
FIRST FINANCIAL BANK,292234,BESSEMER,AL,JEFFERSON,South
BRYANT BANK,3356191,TUSCALOOSA,AL,TUSCALOOSA,South
MERIT BANK,290838,HUNTSVILLE,AL,MADISON,South
FIRST NATIONAL BANK AND TRUST,670430,ATMORE,AL,ESCAMBIA,South
DOZIER BANK,496434,DOZIER,AL,CRENSHAW,South
HNB FIRST BANK,117038,HEADLAND,AL,HENRY,South
MARION COMMUNITY BANK,449832,MARION,AL,PERRY,South
BANKSOUTH,194936,DOTHAN,AL,HOUSTON,South
FIRST BANK OF ALABAMA,257233,TALLADEGA,AL,TALLADEGA,South
22ND STATE BANK,449430,LOUISVILLE,AL,BARBOUR,South
PEOPLES BANK OF ALABAMA,60330,CULLMAN,AL,CULLMAN,South
FIRST CAHAWBA BANK,3633016,SELMA,AL,DALLAS,South
MILLENNIAL BANK,2621285,LEEDS,AL,JEFFERSON,South
REGIONS BANK,233031,BIRMINGHAM,AL,JEFFERSON,South
FRIEND BANK,244037,SLOCOMB,AL,GENEVA,South
"SAMSON BANKING COMPANY, THE",472531,SAMSON,AL,GENEVA,South
"CITIZENS BANK, THE",571135,GREENSBORO,AL,HALE,South
FARMERS & MERCHANTS BANK,434539,PIEDMONT,AL,CALHOUN,South
"CITIZENS' BANK, INC.",563336,ROBERTSDALE,AL,BALDWIN,South
AMERIFIRST BANK,139133,MONTGOMERY,AL,MONTGOMERY,South
PEOPLESTRUST BANK,3282012,HAMILTON,AL,MARION,South
SOUTHERN INDEPENDENT BANK,3531176,OPP,AL,COVINGTON,South
FIRST US BANK,259330,BIRMINGHAM,AL,JEFFERSON,South
"FIRST STATE BANK OF THE SOUTH, INC.",250430,SULLIGENT,AL,LAMAR,South
FIRST NATIONAL BANK OF HARTFORD,112332,HARTFORD,AL,GENEVA,South
CCB COMMUNITY BANK,655839,ANDALUSIA,AL,COVINGTON,South
BANK OF EVERGREEN,560438,EVERGREEN,AL,CONECUH,South
"CITIZENS BANK, THE",374130,ENTERPRISE,AL,COFFEE,South
PEOPLES BANK OF GREENSBORO,320034,GREENSBORO,AL,HALE,South
"CB&S BANK, INC.",594433,RUSSELLVILLE,AL,FRANKLIN,South
"HOMETOWN BANK OF ALABAMA, THE",3217331,ONEONTA,AL,BLOUNT,South
RIVER BANK & TRUST,3437157,PRATTVILLE,AL,ELMORE,South
TROY BANK & TRUST COMPANY,134437,TROY,AL,PIKE,South
COMMUNITY SPIRIT BANK,470032,RED BAY,AL,FRANKLIN,South
FIRST FIDELITY BANK,420877,FORT PAYNE,AL,DEKALB,South
"FIRST FEDERAL BANK, A FSB",814074,TUSCALOOSA,AL,TUSCALOOSA,South
PEOPLES EXCHANGE BANK,42037,MONROEVILLE,AL,MONROE,South
CULLMAN SAVINGS BANK,934673,CULLMAN,AL,CULLMAN,South
LIBERTY BANK,386432,GERALDINE,AL,DEKALB,South
SOUTHERN STATES BANK,3629420,ANNISTON,AL,CALHOUN,South
TRADITIONS BANK,3194692,CULLMAN,AL,CULLMAN,South
COMMUNITY NEIGHBOR BANK,466932,CAMDEN,AL,WILCOX,South
NORTH ALABAMA BANK,1402384,HAZEL GREEN,AL,MADISON,South
ALAMERICA BANK,2877484,BIRMINGHAM,AL,JEFFERSON,South
ROBERTSON BANKING COMPANY,430036,DEMOPOLIS,AL,MARENGO,South
BANK OF MOUNDVILLE,586335,MOUNDVILLE,AL,HALE,South
OAKWORTH CAPITAL BANK,3720608,BIRMINGHAM,AL,JEFFERSON,South
"FIRST STATE BANK OF DEKALB COUNTY, INC.",504535,FORT PAYNE,AL,DEKALB,South
FIRST SOUTHERN BANK,66275,FLORENCE,AL,LAUDERDALE,South
BRANTLEY BANK & TRUST COMPANY,411231,BRANTLEY,AL,CRENSHAW,South
"CITIZENS BANK OF WINFIELD, THE",293437,WINFIELD,AL,MARION,South
FIRST BANK OF BOAZ,533535,BOAZ,AL,MARSHALL,South
COMMONWEALTH NATIONAL BANK,578237,MOBILE,AL,MOBILE,South
PREMIER BANK OF THE SOUTH,1160509,CULLMAN,AL,CULLMAN,South
FIRST PROGRESSIVE BANK,177135,BREWTON,AL,ESCAMBIA,South
VALLEY STATE BANK,595337,RUSSELLVILLE,AL,FRANKLIN,South
"COMMERCIAL BANK OF OZARK, THE",522034,OZARK,AL,DALE,South
SWEET WATER STATE BANK,253730,SWEET WATER,AL,MARENGO,South
FIRST NATIONAL BANK,330239,HAMILTON,AL,MARION,South
FIRST SOUTHERN STATE BANK,246134,STEVENSON,AL,JACKSON,South
LIFESTEPS BANK & TRUST,1474309,UNION SPRINGS,AL,BULLOCK,South
PEOPLES INDEPENDENT BANK,1188987,BOAZ,AL,MARSHALL,South
FIRST CITIZENS BANK,541231,LUVERNE,AL,CRENSHAW,South
EVABANK,498531,EVA,AL,MORGAN,South
TOWN-COUNTRY UNITED BANK,180537,CAMDEN,AL,WILCOX,South
FIRST NATIONAL BANK OF IZARD COUNTY,379649,CALICO ROCK,AR,IZARD,South
CONNECT BANK,126049,STAR CITY,AR,LINCOLN,South
SIMMONS BANK,663245,PINE BLUFF,AR,JEFFERSON,South
MCGEHEE BANK,897648,MCGEHEE,AR,DESHA,South
COMMERCIAL BANK & TRUST COMPANY,23643,MONTICELLO,AR,DREW,South
EVOLVE BANK & TRUST,592448,WEST MEMPHIS,AR,CRITTENDEN,South
FIRST NATIONAL BANK,42448,PARAGOULD,AR,GREENE,South
COMMUNITY STATE BANK,378044,BRADLEY,AR,LAFAYETTE,South
ARVEST BANK,311845,FAYETTEVILLE,AR,WASHINGTON,South
CROSS BANK,989347,WYNNE,AR,CROSS,South
FIRST SERVICE BANK,458544,GREENBRIER,AR,FAULKNER,South
BANK OF LAKE VILLAGE,476445,LAKE VILLAGE,AR,CHICOT,South
BANK OF LITTLE ROCK,1397471,LITTLE ROCK,AR,PULASKI,South
BANK OZK,107244,LITTLE ROCK,AR,PULASKI,South
SOUTHERN BANCORP BANK,852544,ARKADELPHIA,AR,CLARK,South
WARREN BANK AND TRUST COMPANY,748441,WARREN,AR,BRADLEY,South
BANK OF ENGLAND,244149,ENGLAND,AR,LONOKE,South
PARTNERS BANK,335346,HELENA,AR,PHILLIPS,South
PETIT JEAN STATE BANK,2769570,MORRILTON,AR,CONWAY,South
CITIZENS BANK & TRUST COMPANY,192147,VAN BUREN,AR,CRAWFORD,South
TODAY'S BANK,1879016,HUNTSVILLE,AR,MADISON,South
ENCORE BANK,2594240,LITTLE ROCK,AR,PULASKI,South
FARMERS BANK AND TRUST COMPANY,33147,BLYTHEVILLE,AR,MISSISSIPPI,South
EAGLE BANK AND TRUST COMPANY,453446,LITTLE ROCK,AR,PULASKI,South
SIGNATURE BANK OF ARKANSAS,3350724,FAYETTEVILLE,AR,WASHINGTON,South
CHAMBERS BANK,517049,DANVILLE,AR,YELL,South
ARMOR BANK,168571,FORREST CITY,AR,ST. FRANCIS,South
MERCHANTS AND FARMERS BANK,644842,DUMAS,AR,DESHA,South
FIRST NATURALSTATE BANK,78241,MCGEHEE,AR,DESHA,South
RIVERSIDE BANK,977045,SPARKMAN,AR,DALLAS,South
CENTENNIAL BANK,456045,CONWAY,AR,FAULKNER,South
FNBC BANK,100843,ASH FLAT,AR,SHARP,South
GENERATIONS BANK,329345,ROGERS,AR,BENTON,South
RELYANCE BANK,49241,WHITE HALL,AR,JEFFERSON,South
"PEOPLES BANK, THE",712648,MAGNOLIA,AR,COLUMBIA,South
FIRST STATE BANK,10849,LONOKE,AR,LONOKE,South
BANK OF DELIGHT,455945,DELIGHT,AR,PIKE,South
DIAMOND BANK,27847,MURFREESBORO,AR,PIKE,South
FBT BANK & MORTGAGE,314444,FORDYCE,AR,DALLAS,South
FIRST SECURITY BANK,673440,SEARCY,AR,WHITE,South
"FIRST NATIONAL BANK OF FORT SMITH, THE",397540,FORT SMITH,AR,SEBASTIAN,South
FIRST COMMUNITY BANK,2596646,BATESVILLE,AR,INDEPENDENCE,South
FIRST FINANCIAL BANK,48374,EL DORADO,AR,UNION,South
STONE BANK,913146,MOUNTAIN VIEW,AR,STONE,South
RIVERWIND BANK,855143,AUGUSTA,AR,WOODRUFF,South
BANK OF CAVE CITY,629148,CAVE CITY,AR,SHARP,South
PRIORITY BANK,2059990,FAYETTEVILLE,AR,WASHINGTON,South
BANK OF 1889,864846,BERRYVILLE,AR,CARROLL,South
FIRST WESTERN BANK,34742,BOONEVILLE,AR,LOGAN,South
ANSTAFF BANK,261940,GREEN FOREST,AR,CARROLL,South
GATEWAY BANK,733540,RISON,AR,CLEVELAND,South
FIRST NATIONAL BANK OF EASTERN ARKANSAS,251745,FORREST CITY,AR,ST. FRANCIS,South
FIRST STATE BANK OF DEQUEEN,519146,DE QUEEN,AR,SEVIER,South
RIVERBANK,29476,POCAHONTAS,AR,RANDOLPH,South
CENTRAL BANK,3488579,LITTLE ROCK,AR,PULASKI,South
FIRST STATE BANK,114840,RUSSELLVILLE,AR,POPE,South
FARMERS BANK & TRUST COMPANY,12946,MAGNOLIA,AR,COLUMBIA,South
"MERCHANTS & PLANTERS BANK, THE",691042,CLARENDON,AR,MONROE,South
UNION BANK,86349,MENA,AR,POLK,South
LEGACY NATIONAL BANK,3306280,SPRINGDALE,AR,WASHINGTON,South
MERCHANTS & PLANTERS BANK,99143,NEWPORT,AR,JACKSON,South
FIDELITY BANK,848248,WEST MEMPHIS,AR,CRITTENDEN,South
"FARMERS & MERCHANTS BANK, THE",677644,STUTTGART,AR,ARKANSAS,South
FIRST NATIONAL BANK OF COMMERCE,799948,WALNUT RIDGE,AR,LAWRENCE,South
FIRST ARKANSAS BANK AND TRUST,466240,JACKSONVILLE,AR,PULASKI,South
HORATIO STATE BANK,458142,HORATIO,AR,SEVIER,South
BODCAW BANK,942847,STAMPS,AR,LAFAYETTE,South
UNION BANK & TRUST COMPANY,22048,MONTICELLO,AR,DREW,South
UNITED BANK,539377,SPRINGDALE,AR,WASHINGTON,South
PIGGOTT STATE BANK,173342,PIGGOTT,AR,CLAY,South
FARMERS BANK,325141,GREENWOOD,AR,SEBASTIAN,South
"MALVERN NATIONAL BANK, THE",906241,MALVERN,AR,HOT SPRING,South
BANK OF BEARDEN,311144,BEARDEN,AR,OUACHITA,South
PEOPLES BANK,2939391,SHERIDAN,AR,GRANT,South
"CITIZENS BANK, THE",856748,BATESVILLE,AR,INDEPENDENCE,South
BANK OF SALEM,931047,SALEM,AR,FULTON,South
SMACKOVER STATE BANK,676049,SMACKOVER,AR,UNION,South
LOGAN COUNTY BANK,932642,SCRANTON,AR,LOGAN,South
CS BANK,514048,EUREKA SPRINGS,AR,CARROLL,South
SECURITY BANK,741648,STEPHENS,AR,OUACHITA,South
FIRST STATE BANK OF WARREN,843542,WARREN,AR,BRADLEY,South
MISSION BANK,2963275,KINGMAN,AZ,MOHAVE,West
INTEGRO BANK,5758436,PHOENIX,AZ,MARICOPA,West
SOUTHWEST HERITAGE BANK,955977,SCOTTSDALE,AZ,MARICOPA,West
"WESTERN ALLIANCE TRUST COMPANY, NATIONAL ASSOCIATION",5805451,PHOENIX,AZ,MARICOPA,West
WESTERN ALLIANCE BANK,3138146,PHOENIX,AZ,MARICOPA,West
WEST VALLEY NATIONAL BANK,3480069,GOODYEAR,AZ,MARICOPA,West
SCOTTSDALE COMMUNITY BANK,5691319,SCOTTSDALE,AZ,MARICOPA,West
BNC NATIONAL BANK,2358769,GLENDALE,AZ,MARICOPA,West
GAINEY BUSINESS BANK,5758445,SCOTTSDALE,AZ,MARICOPA,West
USAA FEDERAL SAVINGS BANK,619877,PHOENIX,AZ,MARICOPA,West
ZENITH BANK & TRUST,5805442,SCOTTSDALE,AZ,MARICOPA,West
"GOLDWATER BANK, NATIONAL ASSOCIATION",3592047,PHOENIX,AZ,MARICOPA,West
REPUBLIC BANK OF ARIZONA,3596894,PHOENIX,AZ,MARICOPA,West
1ST BANK YUMA,3048487,YUMA,AZ,YUMA,West
GATEWAY COMMERCIAL BANK,3667132,MESA,AZ,MARICOPA,West
MURPHY BANK,855563,FRESNO,CA,FRESNO,West
CALIFORNIA PACIFIC BANK,50461,SAN FRANCISCO,CA,SAN FRANCISCO,West
CALPRIVATE BANK,3545258,LA JOLLA,CA,SAN DIEGO,West
PINNACLE BANK,3455227,MORGAN HILL,CA,SANTA CLARA,West
"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",3076453,SAN DIEGO,CA,SAN DIEGO,West
COMMUNITY WEST BANK,703767,FRESNO,CA,FRESNO,West
RIVER CITY BANK,253468,SACRAMENTO,CA,SACRAMENTO,West
MONTEREY COUNTY BANK,297761,MONTEREY,CA,MONTEREY,West
PACIFIC VALLEY BANK,3293540,SALINAS,CA,MONTEREY,West
PACIFIC ALLIANCE BANK,3546862,SAN GABRIEL,CA,LOS ANGELES,West
BEACH CITIES COMMERCIAL BANK,5805424,IRVINE,CA,ORANGE,West
ROYAL BUSINESS BANK,3835454,LOS ANGELES,CA,LOS ANGELES,West
TUSTIN COMMUNITY BANK,1418255,TUSTIN,CA,ORANGE,West
POPPY BANK,3232204,SANTA ROSA,CA,SONOMA,West
OAK VALLEY COMMUNITY BANK,1864197,OAKDALE,CA,STANISLAUS,West
CATHAY BANK,595869,LOS ANGELES,CA,LOS ANGELES,West
SUMMIT BANK,351560,OAKLAND,CA,ALAMEDA,West
NEIGHBORHOOD NATIONAL BANK,2333140,EL CAJON,CA,SAN DIEGO,West
EAST WEST BANK,197478,PASADENA,CA,LOS ANGELES,West
GOLDEN STATE BANK,3224375,GLENDALE,CA,LOS ANGELES,West
INFINITY BANK,5193989,SANTA ANA,CA,ORANGE,West
1ST CAPITAL BANK,3594797,SALINAS,CA,MONTEREY,West
HANMI BANK,657365,LOS ANGELES,CA,LOS ANGELES,West
COMMERCEWEST BANK,3052813,IRVINE,CA,ORANGE,West
BENEFICIAL STATE BANK,3608751,OAKLAND,CA,ALAMEDA,West
BANK OF HOPE,671464,LOS ANGELES,CA,LOS ANGELES,West
BANC OF CALIFORNIA,494261,LOS ANGELES,CA,LOS ANGELES,West
SANTA CRUZ COUNTY BANK,3235410,SANTA CRUZ,CA,SANTA CRUZ,West
OPEN BANK,3357219,LOS ANGELES,CA,LOS ANGELES,West
NANO BANC,3635029,IRVINE,CA,ORANGE,West
AXOS BANK,2917317,SAN DIEGO,CA,SAN DIEGO,West
PREFERRED BANK,1918344,LOS ANGELES,CA,LOS ANGELES,West
SUMMIT STATE BANK,561574,SANTA ROSA,CA,SONOMA,West
CITY NATIONAL BANK,63069,LOS ANGELES,CA,LOS ANGELES,West
COMMUNITY BANK OF THE BAY,2483438,OAKLAND,CA,ALAMEDA,West
PACIFIC PREMIER BANK,431172,IRVINE,CA,ORANGE,West
GENESIS BANK,5620869,NEWPORT BEACH,CA,ORANGE,West
CAPITAL BANK AND TRUST COMPANY,2921659,IRVINE,CA,ORANGE,West
"BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE",398668,LOS ANGELES,CA,LOS ANGELES,West
CITIZENS BUSINESS BANK,933966,ONTARIO,CA,SAN BERNARDINO,West
BALBOA THRIFT AND LOAN ASSOCIATION,696168,CHULA VISTA,CA,SAN DIEGO,West
BANK OF SAN FRANCISCO,3357385,SAN FRANCISCO,CA,SAN FRANCISCO,West
"GATEWAY BANK, F.S.B.",1493319,OAKLAND,CA,ALAMEDA,West
HERITAGE BANK OF COMMERCE,2209553,SAN JOSE,CA,SANTA CLARA,West
SMBC MANUBANK,930965,LOS ANGELES,CA,LOS ANGELES,West
COMMERCIAL BANK OF CALIFORNIA,3189063,IRVINE,CA,ORANGE,West
HCN BANK,183668,RIVERSIDE,CA,RIVERSIDE,West
CTBC BANK CORP. (USA),996260,LOS ANGELES,CA,LOS ANGELES,West
GOLDEN VALLEY BANK,3440803,CHICO,CA,BUTTE,West
"STATE STREET BANK AND TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION",812164,IRVINE,CA,ORANGE,West
AMERICAN BUSINESS BANK,2734729,LOS ANGELES,CA,LOS ANGELES,West
GBC INTERNATIONAL BANK,972769,LOS ANGELES,CA,LOS ANGELES,West
UNITED SECURITY BANK,1162017,FRESNO,CA,FRESNO,West
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",1443266,SAN FRANCISCO,CA,SAN FRANCISCO,West
DEUTSCHE BANK NATIONAL TRUST COMPANY,670560,LOS ANGELES,CA,LOS ANGELES,West
ENDEAVOR BANK,5192496,SAN DIEGO,CA,SAN DIEGO,West
"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",1444021,SAN FRANCISCO,CA,SAN FRANCISCO,West
FIVE STAR BANK,2867337,ROSEVILLE,CA,PLACER,West
MISSION VALLEY BANK,3039636,SUN VALLEY,CA,LOS ANGELES,West
FIRST COMMERCIAL BANK (U.S.A),2332910,ALHAMBRA,CA,LOS ANGELES,West
UNIVERSAL BANK,208570,WEST COVINA,CA,LOS ANGELES,West
"EL DORADO SAVINGS BANK, F.S.B.",961576,PLACERVILLE,CA,EL DORADO,West
BANK OF STOCKTON,479268,STOCKTON,CA,SAN JOAQUIN,West
HATCH BANK,733661,SAN MARCOS,CA,SAN DIEGO,West
MECHANICS BANK,936462,WALNUT CREEK,CA,CONTRA COSTA,West
ASIAN PACIFIC NATIONAL BANK,1462986,SAN GABRIEL,CA,LOS ANGELES,West
AVIDBANK,3214059,SAN JOSE,CA,SANTA CLARA,West
"AMERICAN PLUS BANK, NATIONAL ASSOCIATION",3623110,ARCADIA,CA,LOS ANGELES,West
BANK OF THE ORIENT,777366,SAN FRANCISCO,CA,SAN FRANCISCO,West
WESTAMERICA BANK,697763,SAN RAFAEL,CA,MARIN,West
FIRST NORTHERN BANK OF DIXON,783161,DIXON,CA,SOLANO,West
EXCHANGE BANK,507068,SANTA ROSA,CA,SONOMA,West
FFB BANK,3398623,FRESNO,CA,FRESNO,West
FARMERS AND MERCHANTS BANK OF LONG BEACH,871769,LONG BEACH,CA,LOS ANGELES,West
FREMONT BANK,739560,FREMONT,CA,ALAMEDA,West
REDWOOD CAPITAL BANK,3247589,EUREKA,CA,HUMBOLDT,West
BAC COMMUNITY BANK,5461,STOCKTON,CA,SAN JOAQUIN,West
AMERICAN CONTINENTAL BANK,3216316,CITY OF INDUSTRY,CA,LOS ANGELES,West
FIRST GENERAL BANK,3386264,ROWLAND HEIGHTS,CA,LOS ANGELES,West
FIRST FOUNDATION BANK,3637685,IRVINE,CA,ORANGE,West
"MALAGA BANK, FSB",773470,PALOS VERDES ESTATES,CA,LOS ANGELES,West
MISSION NATIONAL BANK,519360,SAN FRANCISCO,CA,SAN FRANCISCO,West
BANK OF MARIN,1436204,CORTE MADERA,CA,MARIN,West
PCB BANK,3212402,LOS ANGELES,CA,LOS ANGELES,West
CALIFORNIA BUSINESS BANK,3390337,IRVINE,CA,ORANGE,West
PACIFIC COAST BANKERS' BANK,2451240,WALNUT CREEK,CA,CONTRA COSTA,West
FIRST CREDIT BANK,5069,WEST HOLLYWOOD,CA,LOS ANGELES,West
"C3BANK, NATIONAL ASSOCIATION",754068,ENCINITAS,CA,SAN DIEGO,West
US METRO BANK,3470154,GARDEN GROVE,CA,ORANGE,West
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,808260,LODI,CA,SAN JOAQUIN,West
FIRST PACIFIC BANK,3470930,WHITTIER,CA,LOS ANGELES,West
COMMUNITY COMMERCE BANK,299868,CLAREMONT,CA,LOS ANGELES,West
TRI COUNTIES BANK,100562,CHICO,CA,BUTTE,West
"BEACON BUSINESS BANK, NATIONAL ASSOCIATION",403067,SAN FRANCISCO,CA,SAN FRANCISCO,West
STATE BANK OF INDIA (CALIFORNIA),779968,LOS ANGELES,CA,LOS ANGELES,West
PARTNERS BANK OF CALIFORNIA,3655933,MISSION VIEJO,CA,ORANGE,West
RIVER VALLEY COMMUNITY BANK,3451050,YUBA CITY,CA,SUTTER,West
BANK OF THE SIERRA,662369,PORTERVILLE,CA,TULARE,West
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL,229070,SAN RAFAEL,CA,MARIN,West
"PROVIDENT SAVINGS BANK, F.S.B.",631570,RIVERSIDE,CA,RIVERSIDE,West
ICON BUSINESS BANK,5805228,RIVERSIDE,CA,RIVERSIDE,West
UNITED PACIFIC BANK,609467,CITY OF INDUSTRY,CA,LOS ANGELES,West
EASTERN INTERNATIONAL BANK,206772,LOS ANGELES,CA,LOS ANGELES,West
COMMONWEALTH BUSINESS BANK,3337097,LOS ANGELES,CA,LOS ANGELES,West
"NEW OMNI BANK, NATIONAL ASSOCIATION",300063,ALHAMBRA,CA,LOS ANGELES,West
"CHINO COMMERCIAL BANK, NATIONAL ASSOCIATION",2925620,CHINO,CA,SAN BERNARDINO,West
MEGA BANK,3690635,SAN GABRIEL,CA,LOS ANGELES,West
CORNERSTONE COMMUNITY BANK,3485420,RED BLUFF,CA,TEHAMA,West
UNITED BUSINESS BANK,3281510,WALNUT CREEK,CA,CONTRA COSTA,West
COMMUNITY VALLEY BANK,3637706,EL CENTRO,CA,IMPERIAL,West
PLUMAS BANK,670467,QUINCY,CA,PLUMAS,West
AMERICAN RIVIERA BANK,3388482,SANTA BARBARA,CA,SANTA BARBARA,West
SAVINGS BANK OF MENDOCINO COUNTY,146663,UKIAH,CA,MENDOCINO,West
"BANK OF WHITTIER, NATIONAL ASSOCIATION",209362,WHITTIER,CA,LOS ANGELES,West
EVERTRUST BANK,2297998,CITY OF INDUSTRY,CA,LOS ANGELES,West
"BESSEMER TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION",2845782,SAN FRANCISCO,CA,SAN FRANCISCO,West
LIBERTY BANK N.A.,2907439,IRVINE,CA,ORANGE,West
EH NATIONAL BANK,3320576,BEVERLY HILLS,CA,LOS ANGELES,West
"CALIFORNIA INTERNATIONAL BANK, N.A.",3394380,WESTMINSTER,CA,ORANGE,West
COMMUNITY BANK OF SANTA MARIA,2997216,SANTA MARIA,CA,SANTA BARBARA,West
BANK IRVINE,5788705,IRVINE,CA,ORANGE,West
"FIRST AMERICAN TRUST, FSB",1883321,SANTA ANA,CA,ORANGE,West
MISSION BANK,2736714,BAKERSFIELD,CA,KERN,West
METROPOLITAN BANK,534466,OAKLAND,CA,ALAMEDA,West
COLUMN NATIONAL ASSOCIATION,3435948,CHICO,CA,BUTTE,West
MONTECITO BANK & TRUST,514066,SANTA BARBARA,CA,SANTA BARBARA,West
HOME BANK OF CALIFORNIA,118660,SAN DIEGO,CA,SAN DIEGO,West
LEGACY BANK,5755510,MURRIETA,CA,RIVERSIDE,West
CALIFORNIA BANK OF COMMERCE,3614958,WALNUT CREEK,CA,CONTRA COSTA,West
SILVERGATE BANK,1216826,LA JOLLA,CA,SAN DIEGO,West
"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",1412712,GOLETA,CA,SANTA BARBARA,West
FARMERS BANK,3020447,AULT,CO,WELD,West
MCCLAVE STATE BANK,399357,MC CLAVE,CO,BENT,West
5STAR BANK,455253,COLORADO SPRINGS,CO,EL PASO,West
EVERGREEN NATIONAL BANK,427858,EVERGREEN,CO,JEFFERSON,West
FMS BANK,257756,FORT MORGAN,CO,MORGAN,West
"COLORADO BANK AND TRUST COMPANY OF LA JUNTA, THE",285151,LA JUNTA,CO,OTERO,West
INTEGRITY BANK & TRUST,3160978,MONUMENT,CO,EL PASO,West
FIRST WESTERN TRUST BANK,3158546,DENVER,CO,DENVER,West
FIRST SOUTHWEST BANK,3224302,ALAMOSA,CO,ALAMOSA,West
"FARMERS STATE BANK OF BRUSH, THE",621151,BRUSH,CO,MORGAN,West
FLATIRONS BANK,3022610,BOULDER,CO,BOULDER,West
YOUNG AMERICANS BANK,67254,DENVER,CO,DENVER,West
YAMPA VALLEY BANK,2806635,STEAMBOAT SPRINGS,CO,ROUTT,West
"DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION",705378,DEL NORTE,CO,RIO GRANDE,West
FIRST PIONEER NATIONAL BANK,357553,WRAY,CO,YUMA,West
HIGH PLAINS BANK,247551,FLAGLER,CO,KIT CARSON,West
VERUS BANK OF COMMERCE,3322468,FORT COLLINS,CO,LARIMER,West
WRAY STATE BANK,541754,WRAY,CO,YUMA,West
EQUITABLE SAVINGS AND LOAN ASSOCIATION,206473,STERLING,CO,LOGAN,West
FIRST FARMBANK,3411773,GREELEY,CO,WELD,West
CHAMPION BANK,2901558,PARKER,CO,DOUGLAS,West
BANKERS' BANK OF THE WEST,732758,DENVER,CO,DENVER,West
TIMBERLINE BANK,3271986,GRAND JUNCTION,CO,MESA,West
HOME LOAN STATE BANK,499154,GRAND JUNCTION,CO,MESA,West
FORTIS BANK,2515320,DENVER,CO,DENVER,West
REDSTONE BANK,3591004,CENTENNIAL,CO,ARAPAHOE,West
COLORADO FEDERAL SAVINGS BANK,1718469,GREENWOOD VILLAGE,CO,ARAPAHOE,West
